Spain,Sheffield United,Lyon,2012,Nicholas Moore,23
France,Olympique Lyon,Vigo,2017,Joseph Evans,39
Germany,FC Orenburg,Valencia,2009,Brian Miller,60
France,Borussia Dortmund,Freiburg,2010,David King,0
Russia,FC Ufa,London,2016,Richard White,19
Germany,AS Roma,Rennes,1995,David James,51
England,Manchester United,Paris,2011,Mark Anderson,5
Germany,FC Ufa,Lyon,1995,Brian Miller,71
Germany,Juventus FC,Augsburg,2007,Michael Thompson,12
Russia,US Sassuolo,Barcelona,1993,Kenneth Hall,92
Germany,Stade Rennais,Sochi,2009,Andrew Clark,73
Spain,Stade Brestois,Turin,2020,Norman White,81
England,FC Schalke 04,Krasnodar,2016,Kevin Campbell,28
Spain,SS Lazio,Wolfsburg,2016,Matthew Baker,56
Spain,AS Roma,Valencia,2002,Brian Miller,54
Germany,Cagliari Calcio,Paris,2002,Albert Gonzalez,1
Italy,FC Ufa,Wolfsburg,2018,Kenneth Hall,51
Italy,FC Lorient,Barcelona,2020,John Smith,35
France,Stade de Reims,San Sebastian,2008,Andrew Clark,23
Italy,Stade Brestois,Rennes,2001,Jeffrey Adams,54
France,Real Sociedad,Munich,1999,Thomas Edwards,19
Germany,Stade Brestois,Munich,2013,Brian Walker,42
England,Paris Saint Germain,Krasnodar,1993,Nicholas Moore,71
France,Juventus FC,Barcelona,2018,Michael Thompson,17
France,Atletico Madrid,Wolfsburg,2019,John Smith,89
Spain,FC Orenburg,Gelsenkirchen,2021,William Robinson,0
Russia,Leicester City,Lyon,2018,David King,29
Germany,RC Celta de Vigo,Marseille,1995,Joseph Evans,62
England,Stade Rennais,Brest,2021,Adam Williams,4
France,Sheffield United,Getafe,2009,Andrew Clark,85
Italy,1. FC Köln,Marseille,2022,John Smith,96
England,FC Schalke 04,Orenburg,2015,Kenneth Hall,64
Russia,FC Sochi,Marseille,2013,Thomas Edwards,2
France,FC Metz,Paris,2009,Jeffrey Adams,9
Italy,FC Metz,Orenburg,2020,Ronald Wilson,57
Spain,Chelsea FC,Ferrara,1999,Kevin Campbell,64
Russia,Sheffield United,Yekaterinburg,2022,Jeffrey Adams,93
France,AC Milan,Milan,1999,John Smith,59
Spain,Stade de Reims,Mainz,2013,William Moore,99
Italy,Tottenham Hotspur,Augsburg,2002,Brian Walker,74
England,FC Metz,Lyon,2008,Kevin Campbell,9
Russia,Stade Rennais,Turin,2011,Matthew Baker,60
France,FC Augsburg,Rennes,1992,Kenneth Hall,57
Russia,Juventus FC,Paris,1990,Brian Walker,78
Spain,Olympique Lyon,Dortmund,2016,William Moore,16
Italy,FC Schalke 04,Moscow,2002,Andrew Clark,39
